,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged
76,11539,0101000020E610000001BF4692207C52C0F8E3F6CB27554440,70505,,NYCHHS: CT106820171403592,Babove 37,570,Crown Street,570 Crown Street,Brooklyn,Brooklyn,3,11213.0,40.665277,-73.939488,1001037.6231,181660.5347,3393264.0,3014170007.0,309.0,35,33300,BK63,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,B'Above Worldwide Institute Inc,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-08-27,hhs_facilities_financialscontracts,
77,15059,0101000020E6100000DB15FA60197D52C0508E0244C1584440,59337,,NYCHHS: 7536,Bnos Square Of Williamsburg,165,Spencer Street,165 Spencer Street,Brooklyn,Brooklyn,3,11205.0,40.693398,-73.954674,996819.3891,191903.33,3048560.0,3017510003.0,303.0,33,24100,BK75,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Bnos Square Of Williamsburg,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
79,11588,0101000020E6100000A5BDC117267552C07288B839955A4440,21852,,NYCDOHMH: DC23194,Sholom  Sholom  Inc,84-15,Beverly Road,84-15 Beverly Road,Kew Gardens,Queens,4,11415.0,40.707679,-73.83045,1031257.5883,197148.5284,4574091.0,4033330029.0,409.0,29,13600,QN60,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 8,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Sholom Sholom Inc.,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
81,11615,0101000020E610000030629F008A7652C006BAF605F4724440,31821,,NYCDOHMH: DC11867,All Seasons Day Nursery Infant/Toddler,1701,Nereid Avenue,1701 Nereid Avenue,Bronx,Bronx,2,10466.0,40.898072,-73.852173,1025117.723,266504.3052,2070786.0,2050720013.0,212.0,11,43400,BX62,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 18,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,"All Seasons Day Care, LLC",Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
82,13788,0101000020E61000006893C3279D7C52C0A051BAF42F514440,44812,,NYCACS: 1575603,Glenwood Avenue Head Start,3017,Glenwood Road,3017 Glenwood Road,Brooklyn,Brooklyn,3,11210.0,40.634276,-73.947092,998934.9485,170364.7106,3113939.0,3050050001.0,317.0,45,78600,BK42,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 120,,NYCACS: Seats in Contract,,,,,Non-public,"National Association of Family Dev Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
83,11663,0101000020E6100000AB05F698487B52C09D9CA1B8E3534440,42114,,NYCDOHMH: DC33860,Einstein Daycare Inc.,900,Lenox Road,900 Lenox Road,Brooklyn,Brooklyn,3,11203.0,40.655387,-73.926306,1004697.4982,178059.9999,3392635.0,3046607501.0,317.0,41,86600,BK96,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 30,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Einstein Daycare,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
84,11683,0101000020E61000005D514A08567F52C00F5EBBB4E14C4440,41180,,NYCDOHMH: DC32560,Abc Little Star Inc,2345,85 Street,2345 85 Street,Brooklyn,Brooklyn,3,11214.0,40.600638,-73.989626,987130.672,158105.3441,3185233.0,3068550060.0,311.0,47,29800,BK29,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 18,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Abc Little Star Inc.,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
85,11720,0101000020E61000009B3C65355D7F52C0172B6A300D514440,40918,,NYCDOHMH: DC32467,Shemtov Kinder,4917,14 Avenue,4917 14 Avenue,Brooklyn,Brooklyn,3,11219.0,40.633215,-73.990064,987007.9087,169973.909,3137773.0,3056430004.0,312.0,44,23600,BK88,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 20,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Shemtov Kinder Inc.,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
86,13816,0101000020E61000005E6397A8DE7A52C06CB41CE8A16C4440,32878,,NYCACS: 182301,Seventh Avenue Center 1,1646,Montgomery Avenue,1646 Montgomery Avenue,Bronx,Bronx,2,10453.0,40.848691,-73.91984,1006427.336,248488.5246,2008989.0,2028780028.0,205.0,14,21501,BX36,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 46,,NYCACS: Seats in Contract,,,,,Non-public,Seventh Avenue Center for Family Services,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
88,13818,0101000020E6100000206118B0E47A52C0EB1B98DC28584440,41342,,NYCACS: 381601,Ace Integration Head Start,1419,Broadway,1419 Broadway,Brooklyn,Brooklyn,3,11221.0,40.688747,-73.920208,1006378.5173,190215.5922,3251950.0,3033570006.0,304.0,34,39700,BK78,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 110,,NYCACS: Seats in Contract,,,,,Non-public,Hospital Clinic Home Ctr Instructional Corp.,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
89,11834,0101000020E610000077F35487DC7E52C0F52EDE8FDB634440,39940,,NYCDOHMH: DC23227,Preschool Of America,2109,Broadway,2109 Broadway,New York,Manhattan,1,10023.0,40.780138,-73.98221,989176.9268,223502.6247,1030544.0,1011657503.0,107.0,6,15900,MN14,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 28,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Preschool Of America (Usa) Inc.,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
91,13820,0101000020E61000008198840B798052C09F3BC1FEEB5A4440,36076,,NYCACS: 704903,Hamilton Madison House #6,129,Fulton Street,129 Fulton Street,New York,Manhattan,1,10038.0,40.710327,-74.007388,982201.8953,198067.8681,1001267.0,1000910013.0,101.0,1,1501,MN25,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 49,,NYCACS: Seats in Contract,,,,,Non-public,"Hamilton-Madison House, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
92,13821,0101000020E61000001F2DCE18E67A52C0CFF41263996A4440,33644,,NYCACS: 1584301,Mid Bronx Ccrp Childhood Ctr 1,1125,Grand Concourse,1125 Grand Concourse,Bronx,Bronx,2,10452.0,40.832806,-73.920294,1006306.8836,242700.86,2002893.0,2024720034.0,204.0,16,19500,BX63,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 240,,NYCACS: Seats in Contract,,,,,Non-public,"Mid Bronx CCRP Early Childhood Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
93,13822,0101000020E610000026AC8DB1138052C0B3CEF8BEB8524440,42235,,NYCACS: 360503,Bca Day Care Center,713,43 Street,713 43 Street,Brooklyn,Brooklyn,3,11232.0,40.646263,-74.001202,983916.5705,174727.5317,3018327.0,3009247501.0,307.0,38,9200,BK34,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Head Start,NYCACS: 108,,NYCACS: Seats in Contract,,,,,Non-public,Brooklyn Chinese American Association,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
95,11948,0101000020E61000002FF99FFCDD7B52C0D1031F8315594440,44162,,NYCDOHMH: DC32381,Bnei Moshe Of New Williamsburg,388,Vernon Avenue,388 Vernon Avenue,Brooklyn,Brooklyn,3,11206.0,40.695969,-73.935424,1002156.8652,192843.2949,3394657.0,3015890035.0,303.0,36,28700,BK35,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Infants/Toddlers,NYCDOHMH: 8,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Bnei Moshe Of New Williamsburg,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
96,15171,0101000020E6100000295FD042027C52C05C8E57207A664440,59577,,NYCHHS: 5657,Sunshine Lc Of 3rd Ave,2205,3 Avenue,2205 3 Avenue,New York,Manhattan,1,10035.0,40.800602,-73.937638,1001515.7999,230963.9838,1088601.0,1017857502.0,111.0,8,19400,MN34,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Sunshine Lc Of 3rd Ave LLC,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
97,15186,0101000020E6100000DD96C805677952C06A2FA2ED986A4440,59524,,NYCHHS: 5815,Prfi Bronx Head Start,1423,Prospect Avenue,1423 Prospect Avenue,Bronx,Bronx,2,10456.0,40.832792,-73.896913,1012777.113,242702.7014,2116987.0,2029620029.0,203.0,16,15100,BX35,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,"Puerto Rican Family Institute, Inc.",Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
99,12103,0101000020E610000045F64196057A52C05325CADE526E4440,33824,,NYCDOHMH: DC21013,Lojca LLC,2336,Andrews Avenue,2336 Andrews Avenue,Bronx,Bronx,2,10468.0,40.861904,-73.906591,1010087.7049,253306.2933,2094688.0,2032180035.0,207.0,14,25500,BX30,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 30,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Lojca LLC,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
100,15062,0101000020E6100000865451BCCA7A52C09BE447FC8A5F4440,59436,,NYCHHS: 7202,Holy Land Ecc,45-08,Skillman Avenue,45-08 Skillman Avenue,Sunnyside,Queens,4,11104.0,40.746429,-73.918624,1006798.3875,211231.5062,4001738.0,4001560023.0,402.0,26,18300,QN31,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Holy Land E.C.C. Inc.,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
101,12172,0101000020E61000000DFAD2DB9F7B52C0D061BEBC00634440,27574,,NYCDOHMH: DC1344,Astoria Blue Feather Head Start,27-07,8 Street,27-07 8 Street,Astoria,Queens,4,11102.0,40.77346,-73.931632,1003186.1516,221076.5096,4005574.0,4005100020.0,401.0,22,8300,QN71,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 83,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,NYsarc Inc. NYC Chapter,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
103,12221,0101000020E6100000B5FF01D6AA7652C0C26856B60F594440,25043,,NYCDOHMH: DC23156,North Side School,85-27,91 Street,85-27 91 Street,Woodhaven,Queens,4,11421.0,40.695792,-73.854177,1024686.4742,192805.8858,4182252.0,4088750001.0,409.0,32,1400,QN53,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 122,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,North Side School,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
104,15080,0101000020E6100000AB7B6473D57652C0DE8E705AF06C4440,59376,,NYCHHS: 5579,St. Clare Of Assisi Early Childhood Academy,1925,Hone Avenue,1925 Hone Avenue,Bronx,Bronx,2,10461.0,40.851085,-73.856778,1023872.7284,249383.2499,2087156.0,2042690037.0,211.0,13,25000,BX49,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Catholic School Region Of Northeast-East Bronx,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
105,15081,0101000020E610000052103CBEBD7A52C0B9FAB1497E544440,59570,,NYCHHS: 7540,"Step By Step Early Childhood Center, Inc",1163,Lenox Road,1163 Lenox Road,Brooklyn,Brooklyn,3,11212.0,40.660104,-73.917831,1007047.3951,179780.6551,3101285.0,3046520040.0,317.0,41,89000,BK96,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Step By Step Early Childhood Center Inc,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
106,12330,0101000020E610000036069D103A7F52C0F7E80DF791514440,44593,,NYCDOHMH: DC32900,"Yeshivas Leipnik, Inc.",1345,44 Street,1345 44 Street,Brooklyn,Brooklyn,3,11219.0,40.637267,-73.987919,987603.0416,171450.2341,3136220.0,3056050063.0,312.0,39,23200,BK88,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 23,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,"Yeshivas Leipnik, Inc.",Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
107,15086,0101000020E6100000B5C2F4BD867352C0677E350708564440,59322,,NYCHHS: 6791,Aim High Leadership Academy Center Too,133-08,Sutter Avenue,133-08 Sutter Avenue,South Ozone Park,Queens,4,11420.0,40.67212,-73.805099,1038314.8343,184208.0543,4255595.0,4117720096.0,410.0,28,81400,QN55,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Aim High Leadership Academy Too,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
109,12477,0101000020E6100000BF27D6A9F27F52C02F87DD770C4F4440,41056,,NYCDOHMH: DC24722,"World Of Wonders, Inc.",7215,New Utrecht Avenue,7215 New Utrecht Avenue,Brooklyn,Brooklyn,3,11204.0,40.617568,-73.999186,984476.0432,164272.9485,3158384.0,3061920004.0,311.0,43,26200,BK28,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 29,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,"World Of Wonders, Inc.",Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,
110,15088,0101000020E610000058E1968FA47352C01B48179B565E4440,59451,,NYCHHS: 5592,Kids Advocate Day Care Center Inc.,61-54,162 Street,61-54 162 Street,Fresh Meadows,Queens,4,11365.0,40.737018,-73.806919,1037757.8465,207851.1596,4540015.0,4067570001.0,408.0,24,122701,QN38,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Kids Advocate Day Care Center Inc.,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
