Cluster ID,confidence_score,,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,canonical_,canonical_capacity,canonical_proptype,canonical_city,canonical_area,canonical_cartodb_id,canonical_censtract,canonical_uid,canonical_latitude,canonical_nta,canonical_pgtable,canonical_util,canonical_the_geom,canonical_overlevel,canonical_addressnum,canonical_dataname,canonical_facdomain,canonical_longitude,canonical_overagency,canonical_boro,canonical_facname,canonical_captype,canonical_opabbrev,canonical_facgroup,canonical_optype,canonical_dataurl,canonical_address,canonical_bin,canonical_datadate,canonical_ycoord,canonical_uid_merged,canonical_borocode,canonical_commboard,canonical_council,canonical_idagency,canonical_zipcode,canonical_opname,canonical_streetname,canonical_overabbrev,canonical_utilrate,canonical_idold,canonical_facsubgrp,canonical_factype,canonical_xcoord,canonical_bbl,canonical_datasource,canonical_areatype
400,,10,851,0101000020E61000000744882B677B52C0EA07759142594440,17744,,,Horace E. Green DCC,600,Hart Street,600 Hart Street,Brooklyn,Brooklyn,3,11221.0,40.697344,-73.928172,1004167.2876,193345.8603,3073394.0,3032270010.0,304.0,34,42300,BK78,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Leased,Public,NYC Administration for Childrens Services,NYCACS,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,11,1134,0101000020E6100000BD8FA339B28052C0F65D11FC6F5B4440,4873,,,Office,75,Park Place,75 Park Place,New York,Manhattan,1,10007.0,40.714355,-74.010878,981234.4384,199535.4728,1001415.0,1001270018.0,101.0,1,2100,MN24,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Leased,Public,NYC Office of the Actuary,NYCACT,NYCACT: City,NYC Office of the Actuary,NYCACT,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.960186243057,12,1324,0101000020E61000009B1C3EE9447D52C0D21C59F965684440,7382,,,Comm Bd 9,16,Old Broadway,16 Old Broadway,New York,Manhattan,1,10027.0,40.815612,-73.957331,996060.7266,236429.4459,1059714.0,1019820067.0,109.0,7,21900,MN06,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Leased,Public,NYC Manhattan Community Board 9,NYCCB109,NYCCB109: City,NYC Manhattan Community Board 9,NYCCB109,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,b'957',b'',b'city owned',b'new york',b'',b'338',b'3100',b'12',b'40.716649',b'mn24',b'dcas_facilities_colp',b'',b'0101000020e6100000361d01dc2c8052c005db8827bb5b4440',b'nycdcas: city',b'109',b'nycdcas: city owned and leased properties',b'administration of government',b'-74.002738',b'nyc department of citywide administrative services',b'manhattan',b'field office-mn family ct divn',b'',b'nycdcas',"b'city agency parking, maintenance, and storage'",b'public',b'nycdcas: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page',b'109 leonard street',b'1001842.0',b'nycdcas: 2016-10-20',b'200371.1187',b'',b'1',b'101.0',b'1',b'',b'10013.0',b'nyc department of citywide administrative services',b'leonard street',b'nycdcas',b'',b'',b'custodial',b'custodial',b'983490.8784',b'1001710031.0',b'nycdcas',b''
402,,13,1498,0101000020E6100000A226FA7C947852C065C5707500604440,19133,,,Office,82-11,37 Avenue,82-11 37 Avenue,Jackson Heights,Queens,4,11372.0,40.750014,-73.884063,1016372.9741,212548.3011,4035816.0,4014560041.0,403.0,25,28300,QN28,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Leased,Public,NYC Queens Community Board 3,NYCCB403,NYCCB403: City,NYC Queens Community Board 3,NYCCB403,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.960186243057,14,1522,0101000020E6100000DA1D520C907F52C01137A79201624440,8683,,,Park West HS (Ecf),525,West   50 Street,525 West   50 Street,New York,Manhattan,1,10019.0,40.765673,-73.993167,986142.7291,218231.9763,1083802.0,1010790029.0,104.0,3,13500,MN15,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Leased,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,b'957',b'',b'city owned',b'new york',b'',b'338',b'3100',b'12',b'40.716649',b'mn24',b'dcas_facilities_colp',b'',b'0101000020e6100000361d01dc2c8052c005db8827bb5b4440',b'nycdcas: city',b'109',b'nycdcas: city owned and leased properties',b'administration of government',b'-74.002738',b'nyc department of citywide administrative services',b'manhattan',b'field office-mn family ct divn',b'',b'nycdcas',"b'city agency parking, maintenance, and storage'",b'public',b'nycdcas: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page',b'109 leonard street',b'1001842.0',b'nycdcas: 2016-10-20',b'200371.1187',b'',b'1',b'101.0',b'1',b'',b'10013.0',b'nyc department of citywide administrative services',b'leonard street',b'nycdcas',b'',b'',b'custodial',b'custodial',b'983490.8784',b'1001710031.0',b'nycdcas',b''
403,,15,1599,0101000020E6100000CEFBFF38617352C06F8099EFE0594440,18518,,,Family Court,15102-04,Jamaica Avenue,15102-04 Jamaica Avenue,Jamaica,Queens,4,11433.0,40.702177,-73.802809,1038925.4653,195160.1264,4438731.0,4100930001.0,412.0,27,24000,QN61,Administration of Government,"Offices, Training, and Testing",Offices,Office,,,,,,,City Owned,Public,NYC Department of Correction,NYCDOC,NYCDOC: City,NYC Department of Correction,NYCDOC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,16,7112,0101000020E61000008E5BCCCF0D7B52C0677FA0DCB65B4440,8775,,,Grand Street Bridge,,,,Maspeth,Queens,4,11378.0,40.716518,-73.922718,1005673.4451,200332.959,,,,30,21900,,Core Infrastructure and Transportation,Transportation,Other Transportation,Bridge House,,,,,,,,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Bridge Houses,,NYCDOT: 2016-08-27,dot_facilities_bridgehouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,17,7114,0101000020E6100000DFF94509FA7C52C03D98141F9F5E4440,22522,,,Q1 Under Pulaski Bridge,,,,Brooklyn,Brooklyn,3,,40.739231,-73.952761,997340.8933,208601.8942,,,,33,57900,,Core Infrastructure and Transportation,Transportation,Other Transportation,Bridge House,,,,,,,,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Bridge Houses,,NYCDOT: 2016-08-27,dot_facilities_bridgehouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.960186243057,18,7115,0101000020E61000009692E524947452C05C751DAA296F4440,23926,,,Hutchinson River Parkway Bridge,,,,Bronx,Bronx,2,10475.0,40.868459,-73.821542,1033607.939,255730.8219,,,210.0,12,46201,BX13,Core Infrastructure and Transportation,Transportation,Other Transportation,Bridge House,,,,,,,,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Bridge Houses,,NYCDOT: 2016-08-27,dot_facilities_bridgehouses,,b'957',b'',b'city owned',b'new york',b'',b'338',b'3100',b'12',b'40.716649',b'mn24',b'dcas_facilities_colp',b'',b'0101000020e6100000361d01dc2c8052c005db8827bb5b4440',b'nycdcas: city',b'109',b'nycdcas: city owned and leased properties',b'administration of government',b'-74.002738',b'nyc department of citywide administrative services',b'manhattan',b'field office-mn family ct divn',b'',b'nycdcas',"b'city agency parking, maintenance, and storage'",b'public',b'nycdcas: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page',b'109 leonard street',b'1001842.0',b'nycdcas: 2016-10-20',b'200371.1187',b'',b'1',b'101.0',b'1',b'',b'10013.0',b'nyc department of citywide administrative services',b'leonard street',b'nycdcas',b'',b'',b'custodial',b'custodial',b'983490.8784',b'1001710031.0',b'nycdcas',b''
406,,19,7146,0101000020E6100000F163CC5D4B7C52C0D34B8C65FA5F4440,22966,,,Bridge Repair,42-39,24 Street,42-39 24 Street,Long Island City,Queens,4,11101.0,40.749829,-73.9421,1000292.6334,212464.9601,,4004290015.0,402.0,26,1900,QN31,Core Infrastructure and Transportation,Transportation,Other Transportation,Bridge Repair,,,,,,,,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Manned Facilities,,NYCDOT: 2016-08-27,dot_facilities_mannedfacilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,20,2454,0101000020E61000007E1B62BCE67252C0E030D12005674440,22243,,,City Owned Property,,,Ft Schuyler Drive,Bronx,Bronx,2,10465.0,40.804844,-73.795333,1040910.8804,232569.7211,,2055300200.0,,13,11800,,Administration of Government,Other Property,Miscellaneous Use,No Use-Vacant Land,,,,,,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS: City,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,21,2645,0101000020E61000001C075E2D777D52C01E166A4DF3684440,5562,,,W. 125th Street Esplanade,,,Marginal Street,New York,Manhattan,1,10027.0,40.819925,-73.960399,995210.9607,238000.3065,,1020040092.0,109.0,7,21900,MN06,Administration of Government,Other Property,Miscellaneous Use,No Use-Vacant Land,,,,,,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,NYCEDC: City,NYC Economic Development Corporation,NYCEDC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,22,3402,0101000020E61000004F1E166A4D7652C0A35C1ABFF06E4440,20291,,,City Owned Property,,,Dewitt Place,Bronx,Bronx,2,10469.0,40.866722,-73.848475,1026160.0002,255084.0001,,2045640006.0,211.0,12,35000,BX31,Administration of Government,Other Property,Miscellaneous Use,No Use-Vacant Land,,,,,,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS: City,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,23,4256,0101000020E61000007CB8E4B8537152C0CD1E6805864C4440,4765,,,Bayswater Park,,,Beach 38 Street,Far Rockaway,Queens,4,11691.0,40.59784,-73.770735,1047917.9999,157169.0,,4159540131.0,414.0,31,99200,QN12,Administration of Government,Other Property,Miscellaneous Use,Undeveloped Open Space,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,24,4304,0101000020E610000064744012F67152C0C26A2C616D4C4440,17297,,,Bayswater Park,,,Conch Place,Far Rockaway,Queens,4,11691.0,40.597088,-73.780644,1045166.9999,156887.9999,,4159770050.0,414.0,31,97203,QN12,Administration of Government,Other Property,Miscellaneous Use,Undeveloped Open Space,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,25,4333,0101000020E6100000F3CAF5B6997852C06C95607138694440,13309,,,Garrison Park,,,Garrison Avenue,Bronx,Bronx,2,10474.0,40.822035,-73.884382,1016250.0,238788.0002,,2027590001.0,202.0,17,11502,BX27,Administration of Government,Other Property,Miscellaneous Use,Undeveloped Open Space,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,26,4354,0101000020E6100000DDCD531D727352C004E78C28ED674440,2927,,,Waterfront Property,,,Eger Place,Bronx,Bronx,2,10465.0,40.811925,-73.80384,1038549.9284,235143.9118,,2055290558.0,210.0,13,11800,BX52,Administration of Government,Other Property,Miscellaneous Use,Waterfront Property,,,,,,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS: City,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,27,4617,0101000020E6100000CF842689257D52C00806103E94524440,1723,,,Kings/Flatbush URA,2360,Bedford Avenue,2360 Bedford Avenue,Brooklyn,Brooklyn,3,11226.0,40.645149,-73.955416,996622.3581,174324.7703,3117881.0,3051330014.0,314.0,40,79200,BK95,Administration of Government,Other Property,Properties Leased or Licensed to Non-public Entities,Long-Term Agreement,,,,,,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,NYCEDC: City,NYC Economic Development Corporation,NYCEDC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,28,4632,0101000020E6100000E71DA7E8487F52C059C345EEE9604440,7345,,,42nd St Dev/Times Square,660,8 Avenue,660 8 Avenue,New York,Manhattan,1,10036.0,40.757139,-73.988825,987345.844,215123.1621,1087142.0,1010140001.0,105.0,3,11900,MN17,Administration of Government,Other Property,Properties Leased or Licensed to Non-public Entities,Long-Term Agreement,,,,,,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,NYCEDC: City,NYC Economic Development Corporation,NYCEDC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,29,4649,0101000020E61000008E7747C66A7E52C06DE525FF93574440,1646,,,Atlantic Center(Shopping Ctr),199,Ft Greene Place,199 Ft Greene Place,Brooklyn,Brooklyn,3,11217.0,40.684204,-73.975267,991109.7479,188551.4683,3057470.0,3020020001.0,302.0,35,3500,BK68,Administration of Government,Other Property,Properties Leased or Licensed to Non-public Entities,Long-Term Agreement,,,,,,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,NYCEDC: City,NYC Economic Development Corporation,NYCEDC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,30,4792,0101000020E610000086048C2E6F8052C024456458C5574440,18963,,,Red Hook Container Terminal,17,Union Street,17 Union Street,Brooklyn,Brooklyn,3,11231.0,40.68571,-74.006786,982368.0001,189099.0001,,3003340054.0,306.0,39,5300,BK33,Administration of Government,Other Property,Properties Leased or Licensed to Non-public Entities,Long-Term Agreement,,,,,,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,NYCEDC: City,NYC Economic Development Corporation,NYCEDC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,31,33155,0101000020E6100000F0FCA204FD7752C0FBCC599F726A4440,6552,,,We Care Community Outreach,1624,East  172 Street,1624 East  172 Street,Bronx,Bronx,2,10472.0,40.831623,-73.874818,1018891.8937,242284.7753,2025388.0,2037780034.0,209.0,18,6200,BX08,Health and Human Services,Human Services,Soup Kitchens and Food Pantries,Food Pantry,,,,,,,,Non-public,We Care Community Outreach,Non-public,Non-public Oversight,Non-public,Non-public,FBNYC,FBNYC: FBNYC Food Pantry Soup Kitchen List 8-5-16,,FBNYC: 2016-08-27,foodbankny_facilities_foodbanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
